SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ATLANTA, EQ, 07-Feb-2019, 16.00, 15.20, 15.20, 15.20, 15.20, 15.20, 15.20, 12123, 1.84, 86, 9238, 76.20
ATLASCYCLE, BE, 07-Feb-2019, 68.10, 71.00, 71.00, 66.70, 69.00, 69.05, 69.80, 1308, 0.91, 34, -, -
ATUL, EQ, 07-Feb-2019, 3483.25, 3500.00, 3508.00, 3474.15, 3490.00, 3494.50, 3497.45, 4462, 156.06, 699, 3842, 86.10
ATULAUTO, EQ, 07-Feb-2019, 288.70, 288.00, 299.00, 285.05, 297.00, 296.55, 294.06, 19327, 56.83, 863, 9809, 50.75
AUBANK, EQ, 07-Feb-2019, 602.15, 600.00, 609.85, 590.00, 593.00, 598.00, 599.54, 213275, 1278.67, 17377, 129066, 60.52
AURIONPRO, EQ, 07-Feb-2019, 117.45, 117.35, 118.50, 112.55, 113.15, 114.15, 115.04, 24015, 27.63, 429, 19291, 80.33
AUROPHARMA, EQ, 07-Feb-2019, 759.85, 765.00, 782.00, 760.00, 774.00, 778.45, 773.71, 2022287, 15646.72, 38718, 317858, 15.72
AUSOMENT, EQ, 07-Feb-2019, 34.25, 34.90, 34.90, 32.55, 33.30, 33.50, 33.30, 3704, 1.23, 76, 2661, 71.84
AUTOAXLES, EQ, 07-Feb-2019, 1112.55, 1126.90, 1146.95, 1113.05, 1131.00, 1133.60, 1134.12, 6035, 68.44, 934, 3361, 55.69
AUTOIND, EQ, 07-Feb-2019, 57.15, 56.05, 57.60, 55.95, 56.15, 56.35, 56.65, 18612, 10.54, 295, 11390, 61.20
AUTOLITIND, EQ, 07-Feb-2019, 32.00, 31.15, 32.95, 30.45, 30.45, 30.65, 31.22, 8508, 2.66, 162, 5758, 67.68
AVADHSUGAR, EQ, 07-Feb-2019, 363.80, 363.50, 377.95, 354.00, 374.00, 373.30, 370.29, 25918, 95.97, 1212, 14340, 55.33
AVANTIFEED, EQ, 07-Feb-2019, 317.60, 314.15, 342.00, 314.15, 334.00, 332.70, 334.53, 629189, 2104.81, 19254, 110296, 17.53
AVG, SM, 07-Feb-2019, 81.90, 83.00, 83.00, 77.30, 77.30, 77.30, 80.18, 20400, 16.36, 17, 1200, 5.88
AVTNPL, EQ, 07-Feb-2019, 21.75, 22.05, 22.05, 21.50, 21.70, 21.85, 21.66, 29626, 6.42, 194, 23298, 78.64
AXISBANK, EQ, 07-Feb-2019, 725.75, 726.25, 733.80, 724.00, 730.00, 730.15, 729.42, 7203465, 52543.85, 108863, 2376555, 32.99
AXISCADES, EQ, 07-Feb-2019, 54.10, 54.10, 56.85, 53.45, 55.00, 55.20, 55.48, 42779, 23.73, 745, 26114, 61.04
AXISGOLD, EQ, 07-Feb-2019, 2924.00, 2905.00, 2919.00, 2891.00, 2894.00, 2894.00, 2903.84, 82, 2.38, 34, 61, 74.39
AXISNIFTY, EQ, 07-Feb-2019, 1119.83, 1123.10, 1123.10, 1123.10, 1123.10, 1123.10, 1123.10, 10, 0.11, 1, 10, 100.00
AYMSYNTEX, EQ, 07-Feb-2019, 35.00, 34.85, 37.65, 33.80, 34.45, 34.00, 34.39, 13531, 4.65, 122, 9578, 70.79
BAFNAPHARM, EQ, 07-Feb-2019, 9.35, 9.05, 9.70, 9.05, 9.20, 9.35, 9.22, 5547, 0.51, 66, 3696, 66.63
BAGFILMS, EQ, 07-Feb-2019, 4.25, 4.25, 4.35, 4.15, 4.15, 4.20, 4.23, 94261, 3.99, 174, 72677, 77.10
BAJAJ-AUTO, EQ, 07-Feb-2019, 2770.15, 2785.00, 2872.00, 2772.15, 2853.65, 2853.60, 2844.05, 983573, 27973.26, 49306, 221402, 22.51
BAJAJCON, EQ, 07-Feb-2019, 352.15, 352.00, 357.95, 350.05, 353.90, 353.85, 354.14, 22853, 80.93, 1502, 11283, 49.37
BAJAJELEC, EQ, 07-Feb-2019, 476.60, 476.95, 519.85, 475.60, 514.00, 515.15, 508.92, 1720218, 8754.52, 43729, 352584, 20.50
BAJAJFINSV, EQ, 07-Feb-2019, 6208.65, 6219.95, 6288.95, 6200.00, 6237.00, 6253.10, 6249.89, 134879, 8429.78, 14906, 24844, 18.42
BAJAJHIND, EQ, 07-Feb-2019, 7.65, 7.65, 7.85, 7.55, 7.65, 7.60, 7.64, 1681320, 128.43, 1859, 743427, 44.22
BAJAJHLDNG, EQ, 07-Feb-2019, 2994.25, 2986.70, 3179.95, 2986.65, 3130.00, 3116.85, 3101.27, 550055, 17058.66, 6842, 511803, 93.05
BAJFINANCE, EQ, 07-Feb-2019, 2711.25, 2725.00, 2731.00, 2684.10, 2692.00, 2696.60, 2707.52, 1760580, 47667.99, 66102, 397838, 22.60
BALAJITELE, EQ, 07-Feb-2019, 86.50, 86.85, 90.00, 86.20, 86.60, 87.05, 87.59, 11195, 9.81, 324, 7327, 65.45
BALAMINES, EQ, 07-Feb-2019, 390.70, 391.00, 413.00, 390.00, 406.00, 409.65, 403.26, 19120, 77.10, 1277, 9901, 51.78
BALKRISHNA, EQ, 07-Feb-2019, 36.95, 37.00, 37.95, 36.50, 37.05, 37.10, 36.95, 6473, 2.39, 103, 4476, 69.15
BALKRISIND, EQ, 07-Feb-2019, 786.30, 786.00, 806.65, 780.60, 800.00, 800.15, 797.61, 565074, 4507.08, 25231, 195976, 34.68
BALLARPUR, EQ, 07-Feb-2019, 3.30, 3.60, 3.60, 3.60, 3.60, 3.60, 3.60, 222511, 8.01, 133, 222511, 100.00
BALMLAWRIE, EQ, 07-Feb-2019, 183.90, 184.00, 191.00, 182.60, 186.00, 185.40, 186.39, 28329, 52.80, 960, 13787, 48.67
BALPHARMA, EQ, 07-Feb-2019, 76.25, 76.00, 76.85, 73.00, 74.60, 74.10, 74.80, 9366, 7.01, 263, 5467, 58.37
BALRAMCHIN, EQ, 07-Feb-2019, 107.40, 106.45, 107.90, 105.30, 106.20, 106.25, 106.51, 1631879, 1738.08, 14270, 750053, 45.96
BANARBEADS, EQ, 07-Feb-2019, 44.10, 43.25, 46.20, 41.05, 42.00, 41.65, 43.68, 305, 0.13, 44, 192, 62.95
BANARISUG, EQ, 07-Feb-2019, 1500.00, 1500.00, 1525.00, 1471.55, 1500.00, 1486.45, 1520.38, 7783, 118.33, 147, 7429, 95.45
BANCOINDIA, EQ, 07-Feb-2019, 167.55, 168.30, 171.60, 166.30, 169.70, 168.90, 169.45, 10979, 18.60, 345, 7658, 69.75
BANDHANBNK, EQ, 07-Feb-2019, 440.40, 446.00, 464.00, 445.00, 461.50, 460.45, 458.44, 1862489, 8538.39, 68966, 693742, 37.25
BANG, EQ, 07-Feb-2019, 53.80, 53.05, 54.80, 51.70, 52.75, 52.75, 52.74, 68777, 36.27, 606, 31611, 45.96
BANKBARODA, EQ, 07-Feb-2019, 109.20, 109.40, 110.30, 108.00, 109.00, 108.90, 109.16, 11079690, 12095.00, 36403, 2129184, 19.22
BANKBEES, EQ, 07-Feb-2019, 2780.30, 2784.15, 2800.79, 2781.50, 2785.00, 2785.13, 2788.91, 10543, 294.03, 365, 6524, 61.88
BANKINDIA, EQ, 07-Feb-2019, 91.90, 91.50, 95.20, 90.80, 91.75, 92.05, 92.51, 9023352, 8347.38, 32386, 1378241, 15.27
BANSWRAS, EQ, 07-Feb-2019, 63.10, 64.40, 64.80, 63.05, 64.60, 63.85, 63.80, 3512, 2.24, 45, 3113, 88.64
BARTRONICS, EQ, 07-Feb-2019, 5.65, 6.00, 6.00, 5.50, 5.95, 5.65, 5.79, 28692, 1.66, 96, 19367, 67.50
BASF, EQ, 07-Feb-2019, 1311.90, 1318.95, 1343.75, 1315.70, 1342.00, 1338.75, 1326.38, 9786, 129.80, 995, 7695, 78.63
BASML, EQ, 07-Feb-2019, 192.00, 195.50, 195.50, 170.00, 183.20, 177.90, 178.44, 10647, 19.00, 384, 5553, 52.16
BATAINDIA, EQ, 07-Feb-2019, 1200.65, 1203.00, 1210.50, 1188.15, 1193.40, 1195.50, 1198.46, 554886, 6650.11, 16155, 96907, 17.46
BAYERCROP, EQ, 07-Feb-2019, 4342.35, 4334.20, 4355.00, 4262.55, 4262.55, 4300.80, 4310.51, 4201, 181.08, 1816, 2904, 69.13
BBL, EQ, 07-Feb-2019, 1065.15, 1068.30, 1081.00, 1055.75, 1079.30, 1076.55, 1074.76, 1484, 15.95, 230, 817, 55.05
BBTC, EQ, 07-Feb-2019, 1183.55, 1188.10, 1209.90, 1178.25, 1197.00, 1194.75, 1198.53, 51160, 613.17, 3440, 15443, 30.19
BCG, EQ, 07-Feb-2019, 2.80, 2.80, 3.05, 2.75, 2.90, 2.90, 2.88, 316151, 9.12, 255, 220677, 69.80
BCONCEPTS, SM, 07-Feb-2019, 45.20, 43.00, 43.00, 43.00, 43.00, 43.00, 43.00, 3000, 1.29, 1, 3000, 100.00
BDL, EQ, 07-Feb-2019, 234.30, 234.00, 253.00, 234.00, 243.45, 243.15, 242.53, 18231, 44.21, 1266, 10365, 56.85
BEARDSELL, EQ, 07-Feb-2019, 17.70, 17.40, 18.10, 17.00, 17.95, 17.45, 17.80, 148, 0.03, 11, 142, 95.95
BEDMUTHA, EQ, 07-Feb-2019, 18.90, 18.90, 19.80, 17.55, 18.00, 18.00, 17.91, 13876, 2.49, 51, 12576, 90.63
BEL, EQ, 07-Feb-2019, 81.90, 82.00, 83.00, 80.55, 81.55, 81.65, 81.70, 5396444, 4409.04, 31719, 1992837, 36.93
BEML, EQ, 07-Feb-2019, 758.50, 758.50, 779.70, 757.05, 772.00, 771.50, 771.08, 1699537, 13104.84, 37007, 107857, 6.35
BEPL, EQ, 07-Feb-2019, 66.85, 66.80, 69.50, 66.80, 68.55, 68.70, 67.96, 470095, 319.49, 5502, 120474, 25.63
BERGEPAINT, EQ, 07-Feb-2019, 310.65, 311.00, 315.25, 308.40, 312.00, 313.90, 312.83, 514411, 1609.24, 22123, 213843, 41.57
